kpoints,lattice_parameter,max_revision,path,revision_number,variable_list,job_state,elec_energy
666,3.456,1,data/01-666/40-3p456/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.456}]",,-13678.956829475997
666,3.46,1,data/01-666/41-3p46/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.46}]",,-13678.95916087944
666,3.464,1,data/01-666/42-3p464/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.464}]",,-13678.960759888454
666,3.468,1,data/01-666/43-3p468/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.468}]",,-13678.96141758763
666,3.472,1,data/01-666/44-3p472/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.472}]",,-13678.960863427774
666,3.476,1,data/01-666/45-3p476/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.476}]",,-13678.960202259146
666,3.48,1,data/01-666/46-3p48/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.48}]",,-13678.958951011631
666,3.484,1,data/01-666/47-3p484/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.484}]",,-13678.956537633892
666,3.488,1,data/01-666/48-3p488/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.488}]",,-13678.95335002422
666,3.492,1,data/01-666/49-3p492/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.492}]",,-13678.949412944974
666,3.496,1,data/01-666/50-3p496/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.496}]",,-13678.944892317573
666,3.5,1,data/01-666/51-3p5/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.5}]",,-13678.939666711218
666,3.504,1,data/01-666/52-3p504/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.504}]",,-13678.933296594007
666,3.508,1,data/01-666/53-3p508/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.508}]",,-13678.92613945551
666,3.512,1,data/01-666/54-3p512/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.512}]",,-13678.919042522204
666,3.516,1,data/01-666/55-3p516/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.516}]",,-13678.909424930273
666,3.52,1,data/01-666/56-3p52/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.52}]",,-13678.90227922056
666,3.524,1,data/01-666/57-3p524/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.524}]",,-13678.892567749348
666,3.528,1,data/01-666/58-3p528/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.528}]",,-13678.882375452964
666,3.532,1,data/01-666/59-3p532/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.532}]",,-13678.87135701893
666,3.536,1,data/01-666/60-3p536/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.536}]",,-13678.859704763709
666,3.54,1,data/01-666/61-3p54/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.54}]",,-13678.847558757905
666,3.544,1,data/01-666/62-3p544/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.544}]",,-13678.834630356754
666,3.548,1,data/01-666/63-3p548/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.548}]",,-13678.821195211587
666,3.552,1,data/01-666/64-3p552/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.552}]",,-13678.807130394965
666,3.556,1,data/01-666/65-3p556/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.556}]",,-13678.792546521177
666,3.56,1,data/01-666/66-3p56/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.56}]",,-13678.777561007344
666,3.564,1,data/01-666/67-3p564/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.564}]",,-13678.762338074177
666,3.568,1,data/01-666/68-3p568/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.568}]",,-13678.746182266705
666,3.572,1,data/01-666/69-3p572/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.572}]",,-13678.729482299555
666,3.576,1,data/01-666/70-3p576/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.576}]",,-13678.71214599417
666,3.58,1,data/01-666/71-3p58/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.58}]",,-13678.693478235711
666,3.584,1,data/01-666/72-3p584/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.584}]",,-13678.676939700106
666,3.588,1,data/01-666/73-3p588/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.588}]",,-13678.65787186626
666,3.592,1,data/01-666/74-3p592/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.592}]",,-13678.63876661676
666,3.596,1,data/01-666/75-3p596/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.596}]",,-13678.618973531473
666,3.6,1,data/01-666/76-3p6/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.6}]",,-13678.599631951094
666,3.604,1,data/01-666/77-3p604/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.604}]",,-13678.57662397672
666,3.608,1,data/01-666/78-3p608/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.608}]",,-13678.556015026083
666,3.612,1,data/01-666/79-3p612/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.612}]",,-13678.534573271005
666,3.616,1,data/01-666/80-3p616/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.616}]",,-13678.5101997613
666,3.62,1,data/01-666/81-3p62/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.62}]",,-13678.492064325565
666,3.624,1,data/01-666/82-3p624/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.624}]",,-13678.468595118215
666,3.628,1,data/01-666/83-3p628/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.628}]",,-13678.446503759345
666,3.632,1,data/01-666/84-3p632/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.632}]",,-13678.422261748663
666,3.636,1,data/01-666/85-3p636/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.636}]",,-13678.401943551673
666,3.64,1,data/01-666/86-3p64/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.64}]",,-13678.377962226057
666,3.644,1,data/01-666/87-3p644/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.644}]",,-13678.34871610969
666,3.648,1,data/01-666/88-3p648/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.648}]",,-13678.32805144374
666,3.652,1,data/01-666/89-3p652/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.652}]",,-13678.302511654072
666,3.656,1,data/01-666/90-3p656/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.656}]",,-13678.274378211241
