,bulk,graph_rep_1,graph_rep_2,strain_1,strain_2,supp_rep_1,supp_rep_2,surface
127,bcc,3,3,7.88732394366,-6.56683671847,5,2,100
128,bcc,3,3,7.88732394366,-6.56683671847,5,3,100
129,bcc,3,3,7.88732394366,-6.56683671847,5,4,100
130,bcc,3,3,7.88732394366,-6.56683671847,5,5,100
131,bcc,3,3,7.88732394366,-6.56683671847,5,6,100
132,bcc,3,3,7.88732394366,-6.56683671847,5,7,100
133,bcc,4,3,-2.9014084507,12.1197959378,6,1,100
134,bcc,4,3,-2.9014084507,12.1197959378,6,2,100
135,bcc,4,3,-2.9014084507,12.1197959378,6,3,100
136,bcc,4,3,-2.9014084507,12.1197959378,6,4,100
137,bcc,4,3,-2.9014084507,12.1197959378,6,5,100
138,bcc,4,3,-2.9014084507,12.1197959378,6,6,100
139,bcc,4,3,-2.9014084507,12.1197959378,6,7,100
140,bcc,4,4,13.2816901408,-1.89517855439,7,1,100
141,bcc,4,4,13.2816901408,-1.89517855439,7,2,100
142,bcc,4,4,13.2816901408,-1.89517855439,7,3,100
143,bcc,4,4,13.2816901408,-1.89517855439,7,4,100
144,bcc,4,4,13.2816901408,-1.89517855439,7,5,100
145,bcc,4,4,13.2816901408,-1.89517855439,7,6,100
146,bcc,4,4,13.2816901408,-1.89517855439,7,7,100
